country	country-wrong
http://dbpedia.org/resource/Sudan	http://dbpedia.org/resource/Ashburn,_Virginia
http://de.dbpedia.org/resource/Malawi	http://dbpedia.org/resource/Leidschendam-Voorburg
http://dbpedia.org/resource/Grand_Duchy_of_Finland	http://dbpedia.org/resource/Tanagra
http://de.dbpedia.org/resource/Republik_Zypern	http://dbpedia.org/resource/Ilmenau
http://dbpedia.org/resource/New_Caledonia	http://de.dbpedia.org/resource/Shijiazhuang
http://dbpedia.org/resource/State_of_Palestine	http://dbpedia.org/resource/Piqua,_Ohio
http://de.dbpedia.org/resource/Kuwait	http://dbpedia.org/resource/Novosibirsk
http://dbpedia.org/resource/England	http://dbpedia.org/resource/Lausanne
http://dbpedia.org/resource/Marshall_Islands	http://dbpedia.org/resource/England
http://dbpedia.org/resource/Bermuda	http://de.dbpedia.org/resource/Uppsala
http://dbpedia.org/resource/Uruguay	http://de.dbpedia.org/resource/Appledore
http://de.dbpedia.org/resource/Kirgisistan	http://de.dbpedia.org/resource/Höhbeck
http://dbpedia.org/resource/Northern_Ireland	http://de.dbpedia.org/resource/Wiener_Neustadt
http://dbpedia.org/resource/Somalia	http://dbpedia.org/resource/Yerevan
http://dbpedia.org/resource/Cayman_Islands	http://de.dbpedia.org/resource/Chalandri
http://dbpedia.org/resource/Sri_Lanka	http://dbpedia.org/resource/Xiamen
http://dbpedia.org/resource/Portuguese_Mozambique	http://de.dbpedia.org/resource/Wangen-Brüttisellen
http://dbpedia.org/resource/Wales	http://de.dbpedia.org/resource/Radnor_(Pennsylvania)
http://dbpedia.org/resource/Nepal	http://de.dbpedia.org/resource/Moutier
http://de.dbpedia.org/resource/Oman	http://de.dbpedia.org/resource/Eislingen/Fils
http://dbpedia.org/resource/Algeria	http://dbpedia.org/resource/Economy_of_Germany
http://dbpedia.org/resource/Tuvalu	http://de.dbpedia.org/resource/Needham_(Massachusetts)
http://dbpedia.org/resource/Kingdom_of_England	http://dbpedia.org/resource/Zhangjiagang
http://dbpedia.org/resource/British_Raj	http://de.dbpedia.org/resource/Ismaning
http://de.dbpedia.org/resource/Estland	http://dbpedia.org/resource/Columbus,_Georgia
http://dbpedia.org/resource/Scotland	http://dbpedia.org/resource/Nerima
http://de.dbpedia.org/resource/Mongolei	http://de.dbpedia.org/resource/Le_Chenit
http://dbpedia.org/resource/United_Kingdom_of_Great_Britain_and_Ireland	http://de.dbpedia.org/resource/Germany
http://dbpedia.org/resource/The_Bahamas	http://dbpedia.org/resource/Baoding
http://de.dbpedia.org/resource/Namibia	http://de.dbpedia.org/resource/Rohrbach_(Pfalz)
http://dbpedia.org/resource/The_Gambia	http://dbpedia.org/resource/Southeast_Asia
http://de.dbpedia.org/resource/Norwegen	http://de.dbpedia.org/resource/Dublin
http://dbpedia.org/resource/Papua_New_Guinea	http://de.dbpedia.org/resource/Brasilien
http://de.dbpedia.org/resource/Aserbaidschan	http://de.dbpedia.org/resource/Baoding
http://dbpedia.org/resource/Oman	http://de.dbpedia.org/resource/Córdoba_(Argentinien)
http://dbpedia.org/resource/British_Virgin_Islands	http://de.dbpedia.org/resource/Stavanger
http://dbpedia.org/resource/Trinidad_and_Tobago	http://de.dbpedia.org/resource/St._Egidien
http://dbpedia.org/resource/United_Arab_Emirates	http://dbpedia.org/resource/Stamford,_Connecticut
http://dbpedia.org/resource/Vietnam	http://dbpedia.org/resource/Aachen
http://dbpedia.org/resource/Tanzania	http://de.dbpedia.org/resource/Amriswil
http://dbpedia.org/resource/Isle_of_Man	http://de.dbpedia.org/resource/Kōtō
http://de.dbpedia.org/resource/Jordanien	http://de.dbpedia.org/resource/Halberstadt
http://dbpedia.org/resource/European_Union	http://de.dbpedia.org/resource/Isny_im_Allgäu
http://dbpedia.org/resource/Zambia	http://de.dbpedia.org/resource/Wittinsburg
http://dbpedia.org/resource/Republika_Srpska	http://de.dbpedia.org/resource/Ulaanbaatar
